"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"ING Group","f2c9abb5cddba6c2","false",NA,"Fulltime","","","","","","","Amsterdam","Lead Operational Work Flow Management | Tribe KYC Services & Operations | Amsterdam/Leeuwarden","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:15.865Z","NL","Data Analyst",NA
"ING Group","eb61da67726d4e96","false",NA,"Fulltime","","","","","","","Amsterdam","Credit Risk Test Engineer","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:16.244Z","NL","Data Analyst",NA
"ING Group","af41df4d5c97c30a","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Data Engineer Collections(Oracle Exadata, DataStage, Cognos)","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:16.568Z","NL","Data Analyst",NA
"VeiligheidNL","74b1074ac30a4416","false",NA,"Parttime","Fulltime","","","","","","1062 Amsterdam Nieuw-West","Junior Data Analist (32-36 uur)","3 dagen geleden",NA,NA,NA,"€ 3.404 - € 5.389 per maand","2024-08-09T18:40:16.633Z","NL","Data Analyst",NA
"ING Group","9910d1eb5a32dd3a","false",NA,"Fulltime","","","","","","","Amsterdam","Customer Journey Expert (Product Manager) - Credit Risk Model","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:16.826Z","NL","Data Analyst",NA
"Royal Den Hartogh Logistics","c4214d559a765f9d","false",NA,"Fulltime","","","","","","","3087 Rotterdam","Data Analyst","3 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:17.081Z","NL","Data Analyst",NA
"ING Group","ca3528675e32cff7","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Data Scientist Transaction Monitoring","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:17.645Z","NL","Data Analyst",NA
"ING Group","7346536d1643e188","false",NA,"Fulltime","","","","","","","Amsterdam","Chapter Lead Business Analyst - DBNL Finance Information Management","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:18.758Z","NL","Data Analyst",NA
"Gemeente Utrecht","3219b694e0c405b6","false",NA,"Uitzicht op vast","Bepaalde tijd","","","","","","3521 Utrecht","Business Analist","3 dagen geleden",NA,3.5,56,"€ 4.211 - € 5.997 per maand","2024-08-09T18:40:19.399Z","NL","Data Analyst",NA
"Formorrow","5ea3723b5462bf73","false",NA,"Parttime","Fulltime","","","","","","Amersfoort","Data Engineer","3 dagen geleden",NA,4.8,5,"Vanaf € 2.700 per maand","2024-08-09T18:40:19.971Z","NL","Data Analyst",NA
